text;summary
Guingamp defender Benjamin Angoua took an unorthodox method to try and stop his goalkeeper getting sent off. Stopper Mamadou Samassa was about to be given his marching order during the club's Ligue 1 clash against Montpellier for his furious protests after conceding a goal. But as referee Philippe Kalt was brandishing the red card, the Ivorian international knocked it out of the official's hand not once but twice. On the second attempt Angoua succeeded but after fumbling the card, Kalt dismissed Samassa. Angoua fortunately escaped without further punishment in Guingamp's 2-1 defeat on Saturday. Benjamin Angoua tries to rip the red card out of referee Philippe Kalt's hand At the second attempt the Ivorian defender succeeded in knocking the ref's card to the ground But it did not stop Philippe Kalt eventually giving keeper Mamadou Samassa his marching orders;Ivorian defender Benjamin Angoua nicked the referee's red card not once but twice . Man in the middle Philippe Kalt was going to dismiss Guingamp goalkeeper Mamadou Samassa towards the end of the 2-1 defeat to Montpellier . After fumbling the card Kalt eventually gave the stopper his marching orders . Angoua somehow escaped further punishment
Ahead of another weekend of the Barclays Premier League, Sportsmail brings you the latest squad news, odds and stats on every top flight fixture as it breaks. Simply click on your team in the fixture list below to find out who is ruled out and who is making a return as well as all the key statistics surrounding your club's fixture. In or out? Keep up-to-date with all the latest team news and stats ahead of the Premier League weekend SATURDAY Aston Villa vs Liverpool (3pm) Burnley vs Crystal Palace (3pm) Leicester vs Stoke (3pm) QPR vs Manchester United (3pm) Swansea vs Chelsea (3pm) Tottenham vs Sunderland (3pm) Newcastle vs Southampton (5.30pm) SUNDAY West Ham vs Hull (1.30pm) Man City vs Arsenal (4pm) MONDAY Everton vs West Brom (8pm);Table toppers Chelsea face a trip to Swansea on Saturday . Title rivals Manchester City host Arsenal on Sunday at 4pm . Newcastle host Southampton in Saturday's 5.30pm kick-off . West Ham face Hull in the Barclays Premier League on Sunday at 1.30pm . Everton wrap up the action as they face West Brom on Monday at 8pm
By Jonathan Block Several pornographic images and unsettling phone calls were also received from the same China-based number. Scroll down for video Sarah Bajc (left), the girlfriend of Phillip Wood (right) who was aboard Malaysia Airlines Flight 370 that disappeared on March 8, has received death threats Bajc stands in front of a sign scrawled with prayer messages for the passengers of MH370 Bajc (left) and Wood (right) during happier times;Sarah Bajc, girlfriend of passenger Philip Wood, received the threat via a message from a China-based number . Bajc has also had her apartment broken into twice and has received unsettling phone calls since MH370 disappeared on March 8 . Bajc was planning to move to Kuala Lumpur to live with Wood, who works for IBM Malaysia
San Lorenzo will play Real Madrid in Saturday's FIFA World Club final after the Argentine side beat Auckland City 2-1 in extra time on Wednesday night. Pablo Barrientos fired San Lorenzo into the lead just before half time before Angel Berlanga equalised for Auckland City in the 67th minute. But, Mauro Matos pounced early on in the first half of extra time to put the Argentines ahead again. A place in the final against the Galacticos now awaits San Lorenzo with the finale due to take place on Saturday night in Morocco.;Pablo Barrientos scores for San Lorenzo just before the break . Angel Berlanga equalises for Auckland City in the second half . Mauro Matos strikes in extra time to give San Lorenzo 2-1 lead . San Lorenzo will play Real Madrid in Saturday's final. . Auckland beat Setif in quarter-finals, while Argentine side received a bye . Live stream courtesy of Goal.com
QPR midfielder Leroy Fer will be sidelined for up to ten weeks after suffering a medial collateral ligament injury in his side's win at Sunderland on Tuesday night. The 25-year-old, who scored the opener against the Black Cats, was forced from the fray on a stretcher in the 75th minute at the Stadium of Light. The injury came as a result of a challenge between Fer and Sunderland midfielder Liam Bridcutt, with the former Norwich man immediately clutching his left knee in agony. Leroy Fer rises above Liam Bridcutt to head home emphatically and give QPR the lead on Tuesday night The Dutchman is congratulated by his team-mates as the R's got to the perfect start at the Stadium of Light Holland international Fer falls to the floor in agony after a challenge with Sunderland midfielder BridcuttÂ;QPR won for the first time away this season at Sunderland on TuesdayÂ . However, it came at a cost as Holland midfielder Fer suffered a medial collateral ligament injury in the second half . The club have now confirmed Fer will be out for 8-10 weeks . Only recently Richard Dunne was ruled out for three months with a similar knee injury, after being forced off in the defeat by Southampton . The west London side are out of the bottom three on goal differenceÂ
By Daniel Piotrowski for Daily Mail Australia Now that's quite a haul. Police from the Middle Eastern Crime Squad seized a gold 'pen gun', five rounds of ammunition, four grams of crystal methamphetamine, two knives, four mobile phones and cash when they stopped a Toyota Corolla in Padstow in Sydney's south-western suburbs on Friday afternoon. The 41-year-old driver, who police allege was driving on a suspended license, was taken to Bankstown Police Station where he was charged with weapons and drugs offences. He appeared in Parramatta Local Court on Saturday where he was refused bail. The man is expected to reappear in Bankstown Local Court on Monday afternoon. An image of the so-called 'pen gun' which was seized by police on Friday afternoon. NSW Police released images of the 'pen gun' on Monday. Sorry we are not currently accepting comments on this article.;NSW police seized a gold 'pen gun' at a vehicle stop in Padstow at 4pm last Friday . Also included in the haul: five rounds of ammunition, four grams of crystal meth, four mobile phones, two knifes, quantities of cash . Man, 41, was charged with weapons and drugs offences . Due to appear in Bankstown Local Court this afternoon
By Simon Jones Sunderland have signed Dutch international Patrick Van Aanholt on a four-year deal from Chelsea. The 23-year-old spent the last two-and-a-half seasons at Vitesse Arnhem, who have strong links with the Premier League side. All smiles: Patrick van Aanholt poses in his new shirt after sealing the move to the Stadium of Light Dutch of class: Van Aanholt seen playing for Vitesse (left) and the Holland national team (right) this year Van Aanholt, who has played eight times for Chelsea, has also had loan spells at Wigan, Leicester, Newcastle and Coventry. Manager Gus Poyet is waiting on Fabio Borini as talks continue with Liverpool and the player. Poyet remains keen on Atletico Madrid winger Cristian Rodriguez. Depleted:Gus Poyet know he faces a race against time to get players in before the start of the season;Black Cats seal permanent deal for 23-year-old former Newcastle loanee . He has spent the last two seasons at Dutch club Vitesse Arnhem . Dutchman just missed out on a spot in Louis van Gaal's World Cup squad . He has two senior caps at international level with Holland . Sunderland still keen on Fabio Borini as talks continue . Atletico Madrid winger Cristian Rodriguez also on Poyet's radar
Wigan striker Shaun Maloney is close to finalising a move to MLS side Chicago Fire. The forward has been told he can leave the Latics this month by manager Malky Mackay. Maloney came close to joining Leicester last week - but talks over a switch to the King Power Stadium broke down. Shaun Maloney (right) is close to finalising a move from Championship club Wigan to Chicago Fire in the MLS Maloney was close to joining Leicester last week, but it fell through and he now looks set to move to the USA And Chicago Fire, who are managed by former Ipswich player Frank Yallop, have moved for the Scotland international. The MLS side hope to complete their swoop by the end of the week. Maloney has played 22 times for the Latics this season.;Shaun Maloney came close to joining Leicester last week but it fell through . The Wigan midfielder is now close to moving to the MLS with Chicago Fire . Wigan manager Malky Mackay has told Maloney he can leave the club . Chicago Fire are managed by former Ipswich player Frank Yallop
A 14-year-old boy was killed and two other teenagers were shot after gunfire broke out at a Florida birthday party. Richard Newton was at the outdoor party with about 40 to 50 teenagers, aged 14 to 16, in a Tampa neighborhood when a fight broke out on Saturday night. Newton was hit after someone fired shots into the crowd. He died at the scene. the two teenagers who were also shot were taken to a nearby hospital. They did not have life-threatening injuries. Neighbors told Bay News 9 they heard multiple gunshots ring out and ran for cover. Police said they have not yet determined if Newton was involved in the fight that triggered the shooting. Richard Newton, 14, was killed and two other teenagers were shot after gunfire at a birthday party in a Tampa neighborhood (pictured after the shooting) on Saturday night;Richard Newton was at the outdoor party with 40 to 50 teenagers in Tampa . Newton was hit after someone fired shots into crowd and died at the scene . The two teenagers were taken to hospital with non-life-threatening injuries . Police have not yet determined if Newton was involved in the fight
Police say an elf on the sauce is facing drunk driving charges in New Jersey. Riverdale police tell NJ.com that 23-year-old Brian Chellis was found passed out in a car early Friday morning wearing an Elf on the Shelf costume. Lt. James Macintosh says the Cedar Grove man was asleep behind the wheel of a van with its engine running, lights on and music blaring. He says Chellis was in a red shirt, red pants, and white ruffled collar,NJ.com reports. Macintosh says that Chellis seemed confused about where he was and had an open can of beer in the car. Chellis was taken to police headquarters for a breath test after being given a series of field sobriety tests. He was issued a summons and released to a family member. A message left seeking comment from Chellis wasn't immediately returned Saturday.;Riverdale police tell NJ.com that 23-year-old Brian Chellis was found passed out in a car early Friday morning wearing an Elf on the Shelf costume . Was taken in for a breath analyzer after being given field sobriety tests . He was issued a summons and released to a family member
